Date,Open,High,Low,Close,Adj Close,Volume
2020-03-20,1.019100,1.019100,1.019100,1.019100,1.019100,0
2020-03-22,1.019000,1.020100,1.013800,1.019300,1.019300,28125
2020-03-23,1.021000,1.026100,1.015900,1.022800,1.022800,27619356
2020-03-24,1.025500,1.033600,1.020500,1.025300,1.025300,22215650
2020-03-25,1.024900,1.029300,1.022000,1.028500,1.028500,15843882
2020-03-26,1.031400,1.045300,1.029600,1.043900,1.043900,16091621
2020-03-27,1.046400,1.056100,1.039900,1.053800,1.053800,17893213
2020-03-29,1.055100,1.056500,1.052800,1.056100,1.056100,30101
2020-03-30,1.051200,1.052500,1.044600,1.045800,1.045800,11984039
2020-03-31,1.046100,1.046300,1.036400,1.044000,1.044000,17709361
2020-04-01,1.043500,1.044900,1.035200,1.037700,1.037700,11975259
2020-04-02,1.036400,1.038400,1.028500,1.028900,1.028900,10593854
2020-04-03,1.030100,1.030200,1.023600,1.027000,1.027000,10550202
2020-04-05,null,null,null,null,null,null
2020-04-06,1.025800,1.027000,1.023400,1.025000,1.025000,5220107
2020-04-07,null,null,null,null,null,null
2020-04-08,1.031300,1.034600,1.028900,1.031400,1.031400,7353548
2020-04-09,1.031800,1.038800,1.029900,1.037600,1.037600,7724192
2020-04-12,1.039200,1.039300,1.037600,1.037700,1.037700,7182
2020-04-13,1.038000,1.040700,1.034400,1.036900,1.036900,4377042
2020-04-14,1.039300,1.044300,1.037700,1.043800,1.043800,8990840
2020-04-15,1.042900,1.043000,1.032900,1.038100,1.038100,8658286
2020-04-16,1.035200,1.038700,1.031200,1.033700,1.033700,8711907
2020-04-17,1.034500,1.037500,1.030300,1.036800,1.036800,9181308
2020-04-19,1.035300,1.035400,1.034900,1.035100,1.035100,4769
2020-04-20,1.034600,1.037700,1.032700,1.034800,1.034800,6120012
2020-04-21,1.032300,1.035900,1.029600,1.032900,1.032900,7097269
2020-04-22,null,null,null,null,null,null
2020-04-23,1.029800,1.032000,1.024800,1.025800,1.025800,8845584
2020-04-24,1.025300,1.029700,1.021600,1.029700,1.029700,8032928
2020-04-26,1.028500,1.028700,1.028300,1.028500,1.028500,5537
2020-04-27,1.029000,1.031300,1.025300,1.026200,1.026200,5757469
2020-04-28,1.026100,1.030100,1.021800,1.028000,1.028000,9991198
2020-04-29,null,null,null,null,null,null
2020-04-30,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-05-03,1.040700,1.041100,1.039200,1.040000,1.040000,38222
2020-05-04,null,null,null,null,null,null
2020-05-05,1.036700,1.037700,1.028300,1.029200,1.029200,12149295
2020-05-06,1.029000,1.029600,1.025700,1.026300,1.026300,7259100
2020-05-07,1.026600,1.029200,1.023000,1.028700,1.028700,7609287
2020-05-08,1.030100,1.034000,1.028600,1.031100,1.031100,7484302
